barrier_idx,baseline_value,dY_dX,normalized_sensitivity,abs_sensitivity
0,0.3,6.003112500000036e-05,1.0000000000000058,1.0000000000000058
3,0.35,5.145525000000031e-05,1.0000000000000058,1.0000000000000058
4,0.35,5.145525000000031e-05,1.0000000000000058,1.0000000000000058
5,0.4,4.502334375000027e-05,1.0000000000000058,1.0000000000000058
6,0.3,6.003112500000036e-05,1.0000000000000058,1.0000000000000058
7,0.55,3.274425000000018e-05,1.0000000000000053,1.0000000000000053
2,0.45,4.002074999999987e-05,0.9999999999999966,0.9999999999999966
9,0.4,4.502334374999985e-05,0.9999999999999966,0.9999999999999966
8,0.25,7.203734999999976e-05,0.9999999999999964,0.9999999999999964
10,0.3,6.00311249999998e-05,0.9999999999999964,0.9999999999999964
1,0.55,3.2744249999999865e-05,0.9999999999999958,0.9999999999999958
