barrier_key,barrier_name,layer,base_probability,removal_cost,baseline_success,success_after_removal,marginal_effect,marginal_effect_pct,cost_per_pct_improvement
rapid_transmission,Rapid Data Transmission,data_integration,0.3,500,1.8009337500000003e-05,6.0031125000000004e-05,4.20217875e-05,0.0042021787500000005,118985.89511452838
multi_system_integration,Multi-System Integration,data_integration,0.55,1000,1.8009337500000003e-05,3.274425000000001e-05,1.4734912500000004e-05,0.0014734912500000005,678660.2906532357
permanent_storage,Permanent Storage,data_integration,0.45,2000,1.8009337500000003e-05,4.0020750000000005e-05,2.20114125e-05,0.00220114125,908619.5626927622
error_detection,Error Detection Difficulty,data_accuracy,0.35,300,1.8009337500000003e-05,5.1455250000000005e-05,3.34459125e-05,0.0033445912500000004,89697.05939402909
correction_process,Correction Process Barriers,data_accuracy,0.35,800,1.8009337500000003e-05,5.1455250000000005e-05,3.34459125e-05,0.0033445912500000004,239192.15838407754
incomplete_propagation,Incomplete Correction Propagation,data_accuracy,0.4,1500,1.8009337500000003e-05,4.502334375000001e-05,2.7014006250000005e-05,0.0027014006250000006,555267.5105344657
awareness_gap,Awareness Gap,institutional,0.3,100,1.8009337500000003e-05,6.0031125000000024e-05,4.202178750000002e-05,0.004202178750000002,23797.179022905664
record_access,Record Access Barriers,institutional,0.55,200,1.8009337500000003e-05,3.274425000000001e-05,1.4734912500000004e-05,0.0014734912500000005,135732.05813064714
legal_knowledge,Legal Knowledge Gap,institutional,0.25,500,1.8009337500000003e-05,7.203735000000001e-05,5.402801250000001e-05,0.005402801250000001,92544.5850890776
legal_resources,Legal Resource Barriers,institutional,0.4,5000,1.8009337500000003e-05,4.502334375000001e-05,2.7014006250000005e-05,0.0027014006250000006,1850891.7017815523
systemic_bias,Systemic Bias in Algorithms,institutional,0.3,10000,1.8009337500000003e-05,6.003112500000002e-05,4.2021787500000014e-05,0.004202178750000001,2379717.902290567
