barrier_idx,mu,mu_star,sigma,n_effects
0,5.224899849167171e-05,5.224899849167171e-05,3.319398275978378e-05,77
1,2.6686916059515114e-05,2.6686916059515114e-05,1.9966627064499536e-05,73
2,3.6630573274665904e-05,3.6630573274665904e-05,2.684880907738975e-05,75
3,4.054763752097256e-05,4.054763752097256e-05,2.9566335003718123e-05,74
4,4.7901598666420766e-05,4.7901598666420766e-05,3.4518912699018655e-05,78
5,3.9082647313887696e-05,3.9082647313887696e-05,2.2846367484798615e-05,76
6,5.4320899368920675e-05,5.4320899368920675e-05,3.869569944487801e-05,79
7,2.7714926362514732e-05,2.7714926362514732e-05,1.6963242640133812e-05,72
8,6.265178643701391e-05,6.265178643701391e-05,3.980007460091591e-05,79
9,4.1004671527488173e-05,4.1004671527488173e-05,2.9040450277238716e-05,81
10,5.3810123688754824e-05,5.3810123688754824e-05,3.746880156921153e-05,71
