barriers_removed,success_forward,success_backward,success_optimal,success_cost_optimal,success_random
0,1.8009337500000003e-05,1.8009337500000003e-05,1.8009337500000003e-05,1.8009337500000003e-05,1.80093375e-05
1,6.0031125000000004e-05,6.0031125000000024e-05,7.203735000000001e-05,6.0031125000000024e-05,5.512988250000002e-05
2,0.00010914750000000003,0.00010914750000000004,0.0002401245000000001,0.00017151750000000003,0.00013205115
3,0.00024255000000000001,0.00043659000000000016,0.0008004150000000004,0.0006860700000000001,0.00034391362500000005
4,0.0006929999999999999,0.0010914750000000002,0.002668050000000001,0.0022869000000000006,0.0008026725000000002
5,0.00198,0.003638250000000001,0.007623000000000002,0.004158000000000001,0.001983825
6,0.00495,0.010395000000000001,0.021780000000000008,0.011880000000000003,0.006090750000000001
7,0.0165,0.029700000000000004,0.05445000000000001,0.029700000000000004,0.017816250000000002
8,0.03,0.07425000000000001,0.13612500000000002,0.054000000000000006,0.047
9,0.12,0.24750000000000003,0.30250000000000005,0.12,0.134
10,0.3,0.45,0.55,0.3,0.395
11,1.0,1.0,1.0,1.0,1.0
